date,signal_buy,signal_sell
2017-08-01,0.0,-1.0
2017-08-02,0.02,-0.2
2017-08-03,0.86,-0.0
2017-08-04,1.0,-0.0
2017-08-07,1.0,-0.0
2017-08-08,0.0,-0.0
2017-08-09,0.0,-0.0
2017-08-10,0.0,-1.0
2017-08-11,0.0,-1.0
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,0.0,-1.0
2017-08-17,0.0,-1.0
2017-08-18,0.0,-1.0
2017-08-21,0.0,-0.71
2017-08-22,0.0,-1.0
2017-08-23,0.0,-1.0
2017-08-24,1.0,-1.0
2017-08-25,1.0,-0.0
2017-08-28,1.0,-0.0
2017-08-29,0.0,-1.0
2017-08-30,0.39,-1.0
2017-08-31,0.0,-1.0
2017-09-01,0.61,-0.42
2017-09-04,0.0,-0.04
2017-09-05,0.0,-1.0
2017-09-06,0.0,-0.35
2017-09-07,0.44,-0.0
2017-09-08,0.92,-0.0
2017-09-11,1.0,-0.0
2017-09-12,1.0,-0.0
2017-09-13,0.0,-0.4
2017-09-14,0.93,-0.16
2017-09-15,1.0,-0.0
