date,open,high,low,close,volume
2007-01-15,1881.47,1986.54,1881.47,1986.54,3881260000.0
2007-01-16,2002.57,2055.02,1990.87,2055.02,4807440000.0
2007-01-17,2064.29,2093.89,1992.54,2035.65,5883290000.0
2007-01-18,2025.85,2085.4,2002.66,2085.4,5094950000.0
2007-01-19,2097.5,2159.65,2097.5,2159.64,5792520000.0
2007-01-22,2183.44,2259.03,2183.44,2258.99,6358920000.0
2007-01-23,2267.45,2268.69,2175.6,2261.78,6108020000.0
2007-01-24,2260.71,2295.26,2236.57,2283.7,5104120000.0
2007-01-25,2271.52,2271.52,2172.98,2174.24,4817570000.0
2007-01-26,2143.99,2196.28,2061.66,2186.27,4475940000.0
2007-01-29,2201.59,2261.24,2201.59,2260.6,4564670000.0
2007-01-30,2271.47,2280.73,2230.65,2255.94,5024770000.0
2007-01-31,2251.32,2258.7,2129.79,2142.89,4904690000.0
2007-02-01,2120.01,2176.2,2080.16,2165.41,4233880000.0
2007-02-02,2170.03,2190.96,2124.3,2127.1,3861060000.0
2007-02-05,2122.37,2166.09,2118.87,2152.25,3013410000.0
2007-02-06,2158.5,2198.63,2148.1,2198.24,3087620000.0
2007-02-07,2209.65,2237.94,2208.38,2237.94,3832700000.0
2007-02-08,2245.08,2282.19,2233.52,2278.45,3905390000.0
2007-02-09,2282.63,2300.81,2263.61,2287.38,3716180000.0
2007-02-12,2291.66,2341.07,2291.66,2341.07,3618840000.0
2007-02-13,2351.65,2384.16,2338.56,2384.16,3816380000.0
2007-02-14,2386.83,2445.76,2380.74,2435.96,4406560000.0
2007-02-15,2451.44,2512.55,2451.32,2512.4,5151650000.0
2007-02-16,2528.84,2581.56,2519.23,2541.41,5405680000.0
2007-02-26,2557.25,2642.11,2532.1,2642.11,4896310000.0
2007-02-27,2654.44,2673.53,2402.72,2405.57,7240430000.0
2007-02-28,2370.95,2520.0,2369.05,2513.53,5302500000.0
2007-03-01,2526.15,2526.16,2417.84,2459.51,5882810000.0
2007-03-02,2458.26,2515.02,2452.97,2503.68,4723810000.0
2007-03-05,2508.39,2548.25,2419.29,2511.92,4953600000.0
2007-03-06,2501.29,2524.63,2467.68,2516.0,3332170000.0
2007-03-07,2525.53,2580.6,2525.47,2580.6,3723070000.0
2007-03-08,2587.75,2634.88,2562.5,2634.88,4307710000.0
2007-03-09,2637.6,2662.33,2590.44,2638.05,4803170000.0
2007-03-12,2639.89,2696.87,2610.4,2696.5,5136710000.0
2007-03-13,2701.5,2740.46,2694.38,2727.46,5359620000.0
2007-03-14,2704.45,2740.53,2622.75,2708.69,5658030000.0
2007-03-15,2703.93,2760.84,2703.57,2760.84,5100980000.0
2007-03-16,2769.15,2777.41,2671.96,2710.86,5563310000.0
2007-03-19,2623.74,2760.09,2609.31,2751.48,4764990000.0
2007-03-20,2761.01,2811.15,2759.0,2810.71,4355900000.0
2007-03-21,2821.44,2859.03,2801.93,2859.01,4827680000.0
2007-03-22,2869.75,2899.35,2852.67,2861.15,5600570000.0
2007-03-23,2862.63,2901.78,2820.99,2898.0,5227240000.0
2007-03-26,2915.05,2989.05,2915.05,2989.05,5673680000.0
2007-03-27,2995.46,3040.35,2979.13,3039.53,5695780000.0
2007-03-28,3048.5,3060.19,2873.38,3004.29,6700930000.0
2007-03-29,3005.06,3008.22,2894.74,2894.78,5599480000.0
2007-03-30,2878.24,2935.24,2859.73,2926.06,3596240000.0
2007-04-02,2935.21,2993.63,2932.64,2993.63,3767360000.0
2007-04-03,3004.9,3042.46,2993.19,3042.46,4676700000.0
2007-04-04,3049.92,3084.62,3032.49,3078.9,5312640000.0
2007-04-05,3076.76,3137.02,3063.42,3133.14,5280170000.0
2007-04-06,3110.95,3189.11,3097.06,3182.8,5625200000.0
2007-04-09,3201.15,3243.88,3201.15,3240.3,6214380000.0
2007-04-10,3253.67,3261.53,3151.49,3261.53,6355660000.0
2007-04-11,3267.61,3309.98,3231.31,3309.75,6772380000.0
2007-04-12,3316.2,3387.41,3302.36,3387.41,6470740000.0
2007-04-13,3393.96,3419.99,3341.27,3358.63,6753510000.0
2007-04-16,3362.73,3458.07,3362.73,3458.07,6039690000.0
2007-04-17,3482.36,3558.22,3420.31,3558.22,7794420000.0
2007-04-18,3572.7,3652.72,3548.36,3649.71,7161400000.0
2007-04-19,3642.85,3642.85,3356.02,3435.78,7801430000.0
2007-04-20,3456.74,3624.82,3456.74,3614.39,6225110000.0
2007-04-23,3667.55,3784.08,3667.55,3782.26,7372000000.0
2007-04-24,3813.53,3861.57,3753.13,3821.42,8181430000.0
2007-04-25,3802.69,3822.41,3712.04,3805.05,6438930000.0
2007-04-26,3814.92,3854.05,3788.87,3853.27,5543340000.0
2007-04-27,3861.05,3871.4,3801.55,3845.81,5829740000.0
2007-04-30,3831.55,3909.04,3809.97,3903.69,6557120000.0
2007-05-08,3990.71,4093.01,3972.03,4091.13,7312400000.0
2007-05-09,4107.55,4125.42,3918.75,4099.13,8305250000.0
2007-05-10,4103.57,4146.58,4062.48,4128.08,6851390000.0
2007-05-11,4101.65,4130.9,4028.36,4109.4,6024280000.0
2007-05-14,4051.84,4164.81,4014.56,4133.83,5875140000.0
2007-05-15,4140.33,4161.52,3989.36,3998.78,6400180000.0
2007-05-16,3981.82,4118.24,3929.51,4118.14,5555940000.0
2007-05-17,4146.32,4235.05,4135.37,4221.91,6270870000.0
2007-05-18,4219.61,4261.46,4188.32,4235.19,5920970000.0
2007-05-21,4089.85,4364.16,4076.52,4364.16,7162170000.0
2007-05-22,4402.92,4484.53,4402.76,4459.81,8065070000.0
2007-05-23,4486.02,4582.45,4463.27,4582.31,7429000000.0
2007-05-24,4606.15,4625.92,4460.93,4571.71,8313530000.0
2007-05-25,4559.43,4665.98,4525.29,4649.86,7120870000.0
2007-05-28,4707.69,4784.43,4700.62,4761.7,8115640000.0
2007-05-29,4782.41,4853.88,4730.48,4853.64,7563410000.0
2007-05-30,4486.51,4751.04,4430.69,4456.28,8063030000.0
2007-05-31,4329.81,4414.61,4095.4,4267.78,7444530000.0
2007-06-01,4260.77,4317.3,3945.4,3960.44,6604350000.0
2007-06-04,3901.79,3930.34,3615.11,3618.69,4516640000.0
2007-06-05,3430.55,3660.51,3317.87,3659.94,7041320000.0
2007-06-06,3676.69,3786.77,3563.23,3736.93,6713570000.0
2007-06-07,3751.67,3936.83,3736.16,3936.77,6477420000.0
2007-06-08,3970.28,4036.88,3931.38,4002.87,6457130000.0
2007-06-11,4057.17,4117.25,4056.82,4104.55,6173010000.0
2007-06-12,4138.33,4218.61,3945.68,4218.44,7356970000.0
2007-06-13,4263.62,4398.61,4254.63,4372.53,7771330000.0
2007-06-14,4365.98,4399.52,4249.21,4311.98,6896110000.0
2007-06-15,4262.75,4349.16,4232.3,4316.53,5208480000.0
2007-06-18,4400.4,4454.78,4400.4,4439.19,5788580000.0
2007-06-19,4446.69,4529.28,4394.23,4529.03,6184440000.0
2007-06-20,4539.58,4589.22,4371.0,4396.22,6728100000.0
2007-06-21,4372.35,4452.48,4277.04,4374.49,5200250000.0
2007-06-22,4376.38,4386.93,4050.67,4123.21,5568940000.0
2007-06-25,4139.28,4184.33,3824.89,3851.94,4765210000.0
2007-06-26,3739.19,3930.04,3667.82,3928.7,4362730000.0
2007-06-27,3944.36,4031.63,3877.08,4022.31,4201230000.0
2007-06-28,4017.18,4026.09,3756.6,3757.98,3996950000.0
2007-06-29,3636.31,3718.18,3527.32,3585.49,3878780000.0
2007-07-02,3571.72,3658.14,3489.12,3644.79,3350490000.0
2007-07-03,3675.35,3710.08,3587.71,3704.71,3057580000.0
2007-07-04,3711.61,3716.5,3605.45,3622.52,2683980000.0
2007-07-05,3562.28,3570.05,3378.45,3380.18,2941410000.0
2007-07-06,3359.09,3594.42,3309.15,3591.38,3795460000.0
2007-07-09,3627.98,3737.69,3603.51,3711.71,4151980000.0
2007-07-10,3704.88,3704.88,3587.16,3606.19,3473690000.0
2007-07-11,3581.91,3653.31,3564.15,3653.31,2480640000.0
2007-07-12,3659.4,3687.15,3634.48,3671.18,2359860000.0
2007-07-13,3671.46,3672.34,3596.25,3655.84,2016360000.0
2007-07-16,3654.86,3662.36,3532.06,3532.06,2084590000.0
2007-07-17,3514.28,3641.5,3492.26,3610.38,2145450000.0
2007-07-18,3601.29,3673.9,3573.53,3624.34,2495990000.0
2007-07-19,3615.97,3652.53,3593.21,3640.28,1883880000.0
2007-07-20,3642.33,3791.31,3642.33,3788.74,3523290000.0
2007-07-23,3813.98,3984.79,3813.98,3984.79,5043360000.0
2007-07-24,4012.79,4097.47,3977.45,3993.02,5108950000.0
2007-07-25,3991.35,4106.83,3991.18,4106.83,4105760000.0
2007-07-26,4135.06,4212.32,4103.28,4190.88,4762040000.0
2007-07-27,4171.89,4269.85,4111.69,4269.77,4819100000.0
2007-07-30,4279.04,4386.29,4277.83,4353.09,5300970000.0
2007-07-31,4349.61,4403.67,4279.3,4403.58,5071250000.0
2007-08-01,4423.04,4435.24,4155.48,4161.13,5939890000.0
2007-08-02,4181.49,4336.81,4171.86,4336.81,4642580000.0
2007-08-03,4376.96,4424.27,4323.99,4408.05,5389610000.0
2007-08-06,4446.21,4504.66,4418.26,4504.34,5475010000.0
2007-08-07,4510.08,4510.08,4405.6,4470.14,5109890000.0
2007-08-08,4435.55,4465.57,4294.06,4395.43,4610560000.0
2007-08-09,4392.99,4444.96,4392.99,4442.06,3880720000.0
2007-08-10,4443.12,4443.12,4243.74,4348.81,4067870000.0
2007-08-13,4343.73,4350.35,4257.38,4329.77,4050240000.0
2007-08-14,4329.95,4440.76,4324.86,4436.21,3700830000.0
2007-08-15,4448.92,4460.17,4300.56,4412.79,3700100000.0
