date,open,high,low,close,volume
1993-04-30,1344.91,1364.32,1341.86,1358.78,1327900.0
1993-05-03,1377.09,1417.17,1359.77,1378.83,2678500.0
1993-05-04,1377.08,1382.45,1231.44,1252.38,3345400.0
1993-05-05,1221.69,1279.39,1204.9,1246.33,2187900.0
1993-05-06,1246.33,1250.62,1134.6,1146.22,2443600.0
1993-05-07,1156.41,1184.61,2275.72,1167.7,1978700.0
1993-05-10,1176.57,1183.4,1058.22,1073.13,1832600.0
1993-05-11,1093.13,1093.13,1054.72,1080.19,891700.0
1993-05-12,1090.74,1102.86,1070.44,1075.07,998500.0
1993-05-13,1077.9,1106.89,1072.5,1102.79,618400.0
1993-05-14,1110.32,1126.2,1084.69,1092.14,1019700.0
1993-05-17,1061.37,1062.96,1011.22,1047.31,754600.0
1993-05-18,1047.31,1059.52,1031.71,1037.85,442800.0
1993-05-19,1037.85,1047.74,1031.92,1047.74,372900.0
1993-05-20,1047.74,1094.26,1047.74,1083.57,1000800.0
1993-05-21,1084.67,1084.67,1046.56,1056.07,576100.0
1993-05-24,1055.94,1055.94,929.8,929.8,1497500.0
1993-05-25,929.8,929.8,876.22,894.76,1217200.0
1993-05-26,895.15,910.37,889.85,892.34,806100.0
1993-05-27,891.91,891.91,816.58,853.66,956700.0
1993-05-28,852.17,875.17,844.68,861.19,3800900.0
1993-05-31,869.94,879.48,830.12,833.32,1919300.0
1993-06-01,831.53,853.1,778.88,853.1,2318600.0
1993-06-02,871.53,1032.16,834.82,1032.16,14656100.0
1993-06-03,1072.71,1164.69,903.32,1000.93,14727200.0
1993-06-04,1009.61,1009.61,930.0,958.1,7283900.0
1993-06-07,962.11,1047.59,934.63,1036.1,5195900.0
1993-06-08,1087.95,1115.46,1030.84,1033.71,8863600.0
1993-06-09,1025.34,1049.34,1015.06,1028.1,2348200.0
1993-06-10,1028.1,1052.66,980.31,984.97,2245500.0
1993-06-11,985.5,994.17,932.63,979.05,2164100.0
1993-06-14,978.68,988.55,929.58,938.27,2149200.0
1993-06-15,904.19,930.85,902.83,923.8,1478200.0
1993-06-16,927.12,933.63,916.34,922.73,806400.0
1993-06-17,918.97,942.17,917.61,918.97,662600.0
1993-06-18,927.56,927.56,913.2,920.82,623200.0
1993-06-21,916.79,916.79,891.36,898.8,1024400.0
1993-06-22,898.8,914.82,898.8,904.38,1028600.0
1993-06-23,904.38,912.06,899.07,907.18,375400.0
1993-06-24,909.57,909.65,876.3,888.19,564700.0
1993-06-25,888.19,954.74,888.19,910.1,1309900.0
1993-06-28,910.1,929.8,900.36,917.49,1062400.0
1993-06-29,917.49,956.95,917.49,936.76,2113200.0
1993-06-30,940.84,952.83,910.23,913.28,1377300.0
1993-07-01,913.28,916.78,898.16,904.73,892300.0
1993-07-02,904.73,911.53,894.72,896.18,633400.0
1993-07-05,893.62,893.62,858.14,863.13,1216500.0
1993-07-06,856.07,856.07,802.84,808.26,1866200.0
1993-07-07,804.85,813.38,771.3,806.12,1159600.0
1993-07-08,813.42,815.75,798.02,805.57,612000.0
1993-07-09,805.57,805.57,764.84,776.83,855500.0
1993-07-12,761.79,761.79,722.95,751.28,1077100.0
1993-07-13,751.28,776.79,746.42,764.67,443700.0
1993-07-14,764.67,764.67,726.03,726.03,849300.0
1993-07-15,726.03,736.4,721.89,726.98,684200.0
1993-07-16,726.98,729.55,723.52,725.72,507400.0
1993-07-19,725.72,736.49,716.72,716.72,574400.0
1993-07-20,716.72,716.72,687.83,688.47,822200.0
1993-07-21,689.84,700.83,685.54,691.93,336300.0
1993-07-22,692.7,694.2,679.42,694.15,301200.0
1993-07-23,702.83,711.3,689.42,689.77,468500.0
1993-07-26,688.98,706.95,672.71,672.71,332600.0
1993-07-27,672.71,677.77,657.75,670.81,371600.0
1993-07-28,670.81,699.14,670.81,679.28,1057400.0
1993-07-29,679.94,691.95,677.53,688.58,483500.0
1993-07-30,689.04,784.14,689.04,753.8,2737800.0
1993-08-02,767.07,796.24,718.47,722.49,2945700.0
1993-08-03,723.54,742.25,706.25,710.54,879600.0
1993-08-04,710.54,737.79,700.24,726.23,620300.0
1993-08-05,727.27,737.45,702.91,717.69,1150600.0
1993-08-06,723.94,731.97,719.35,724.56,671500.0
1993-08-09,729.08,750.46,724.38,748.44,1368200.0
1993-08-10,758.85,764.21,721.57,725.97,1745800.0
1993-08-11,724.69,736.61,719.61,736.61,400600.0
1993-08-12,746.95,757.24,742.2,754.87,1340100.0
1993-08-13,766.8,789.88,760.14,785.98,2427900.0
1993-08-16,809.3,917.46,809.3,917.46,3625400.0
1993-08-17,926.88,926.88,882.9,899.13,4153000.0
1993-08-18,899.13,899.13,834.49,835.01,2793500.0
1993-08-19,834.08,863.94,831.28,850.11,1545900.0
1993-08-20,853.02,861.05,816.44,824.04,1431000.0
1993-08-23,794.44,813.93,754.84,769.33,1653800.0
1993-08-24,756.58,779.18,752.99,767.52,1043800.0
1993-08-25,777.82,809.29,777.82,793.02,1000600.0
1993-08-26,798.64,798.64,777.54,787.79,443700.0
1993-08-27,785.8,788.26,768.23,779.34,612400.0
1993-08-30,774.73,800.06,768.18,787.89,462300.0
1993-08-31,787.68,798.7,761.2,781.25,254400.0
1993-09-01,779.1,789.21,776.74,778.85,241100.0
1993-09-02,780.32,786.66,776.15,786.66,229100.0
1993-09-03,788.23,816.2,788.23,811.51,990900.0
1993-09-06,827.31,842.28,823.2,842.28,1590700.0
1993-09-07,842.14,842.14,799.62,799.62,984300.0
1993-09-08,799.75,816.3,789.34,803.71,684200.0
1993-09-09,803.02,815.48,799.2,799.2,750300.0
1993-09-10,798.67,807.91,796.67,802.33,492100.0
1993-09-13,797.05,797.05,773.75,781.48,829600.0
1993-09-14,778.27,781.01,764.82,777.43,332400.0
1993-09-15,777.72,784.16,772.76,782.21,217400.0
1993-09-16,781.49,781.58,776.07,777.77,185600.0
1993-09-17,776.25,785.83,772.58,781.96,207200.0
1993-09-20,784.84,789.66,770.45,778.61,272600.0
1993-09-21,779.59,801.81,779.59,794.08,347200.0
1993-09-22,794.26,798.28,783.5,786.62,155400.0
1993-09-23,786.69,795.66,786.69,789.43,188800.0
1993-09-24,780.57,820.89,771.44,783.47,491300.0
1993-09-27,784.32,790.63,780.72,786.95,331900.0
1993-09-28,791.15,798.16,789.42,796.53,8441100.0
