date,open,high,low,close,volume
2003-01-02,993.37,997.6,974.07,975.95,112344000.0
2003-01-03,973.64,981.4,971.32,976.36,78615200.0
2003-01-06,976.21,991.02,972.03,990.45,88100400.0
2003-01-07,990.58,998.92,983.64,988.97,88618700.0
2003-01-08,988.55,1017.19,987.49,1017.12,121275000.0
2003-01-09,1018.28,1041.01,1011.23,1035.55,260796900.0
2003-01-10,1035.02,1045.33,1022.86,1023.38,218831900.0
2003-01-13,1020.88,1031.96,1019.26,1028.89,137725900.0
2003-01-14,1029.09,1098.39,1029.09,1088.05,593528900.0
2003-01-15,1092.07,1100.79,1072.45,1079.69,445731000.0
2003-01-16,1079.79,1098.66,1078.25,1098.44,301790900.0
2003-01-17,1100.12,1103.23,1087.5,1091.76,245624000.0
2003-01-20,1090.67,1098.49,1077.04,1098.39,203538000.0
2003-01-21,1100.26,1102.91,1073.44,1073.51,216345000.0
2003-01-22,1070.4,1080.33,1068.05,1076.6,169536900.0
2003-01-23,1075.23,1084.71,1068.45,1069.56,139910900.0
2003-01-24,1068.93,1089.51,1066.93,1088.17,218810000.0
2003-01-27,1088.95,1106.33,1088.95,1103.54,242858000.0
2003-01-28,1103.94,1107.72,1097.62,1106.26,177355000.0
2003-01-29,1106.25,1113.67,1105.31,1106.95,203248000.0
2003-02-10,1106.59,1106.59,1089.34,1090.78,127219000.0
2003-02-11,1088.09,1101.86,1087.22,1101.64,103474000.0
2003-02-12,1101.31,1115.32,1096.83,1115.14,176464000.0
2003-02-13,1116.66,1122.16,1107.65,1108.6,205845000.0
2003-02-14,1107.68,1115.67,1105.92,1113.46,153505000.0
2003-02-17,1113.38,1116.29,1099.31,1104.18,156265000.0
2003-02-18,1103.01,1105.69,1097.82,1103.54,128992900.0
2003-02-19,1103.32,1114.7,1097.79,1114.63,125085000.0
2003-02-20,1115.19,1119.0,1111.46,1113.44,147820000.0
2003-02-21,1112.69,1112.69,1089.22,1090.98,182928000.0
2003-02-24,1089.28,1096.25,1087.25,1089.9,115910000.0
2003-02-25,1090.11,1110.75,1090.11,1110.49,193904000.0
2003-02-26,1111.05,1112.39,1106.14,1109.39,119650900.0
2003-02-27,1110.04,1117.5,1108.91,1111.77,155072000.0
2003-02-28,1111.86,1113.98,1104.58,1111.99,127410900.0
2003-03-03,1112.13,1119.53,1109.28,1119.42,168959000.0
2003-03-04,1120.56,1123.54,1115.16,1118.94,144019000.0
2003-03-05,1118.71,1119.89,1108.76,1116.09,149332000.0
2003-03-06,1116.13,1116.13,1098.42,1100.56,155874000.0
2003-03-07,1099.67,1104.77,1095.79,1098.25,142777900.0
2003-03-10,1096.83,1098.55,1076.52,1077.26,151942900.0
2003-03-11,1075.71,1080.8,1072.28,1076.12,101342000.0
2003-03-12,1075.7,1082.65,1068.89,1082.56,116874000.0
2003-03-13,1082.26,1083.68,1074.03,1074.45,113440000.0
2003-03-14,1073.38,1079.94,1069.49,1077.31,138677900.0
2003-03-17,1076.89,1077.33,1065.67,1077.31,175216900.0
2003-03-18,1076.85,1084.29,1069.51,1070.1,168595000.0
2003-03-19,1069.05,1080.25,1063.51,1075.88,142265000.0
2003-03-20,1075.17,1078.61,1066.35,1068.87,153780000.0
2003-03-21,1067.81,1079.88,1067.06,1079.65,144034000.0
2003-03-24,1080.24,1082.5,1077.19,1082.19,107207000.0
2003-03-25,1082.24,1082.74,1071.31,1072.16,111900900.0
2003-03-26,1070.93,1075.4,1063.59,1065.9,115257900.0
2003-03-27,1065.62,1097.72,1060.11,1093.9,252358000.0
2003-03-28,1094.74,1101.11,1089.12,1092.82,296365900.0
2003-03-31,1092.64,1109.78,1091.88,1109.78,286268000.0
2003-04-01,1110.22,1121.24,1107.17,1117.95,305624000.0
