date,open,high,low,close,volume
2003-02-24,100.67,100.68,100.64,100.67,161202900.0
2003-02-25,100.67,100.7,100.66,100.68,128210000.0
2003-02-26,100.7,100.7,100.65,100.67,516998900.0
2003-02-27,100.68,100.71,100.67,100.7,227304000.0
2003-02-28,100.72,100.74,100.71,100.74,270811900.0
2003-03-03,100.76,100.77,100.73,100.74,135404000.0
2003-03-04,100.75,100.77,100.72,100.76,174355900.0
2003-03-05,100.77,100.8,100.76,100.79,228991900.0
2003-03-06,100.8,100.82,100.79,100.8,214753000.0
2003-03-07,100.81,100.85,100.8,100.84,473741000.0
2003-03-10,100.87,100.88,100.85,100.88,284578000.0
2003-03-11,100.89,100.89,100.85,100.86,268315000.0
2003-03-12,100.87,100.9,100.86,100.89,209685000.0
2003-03-13,100.9,100.91,100.89,100.91,248724000.0
2003-03-14,100.92,100.93,100.92,100.93,258296900.0
2003-03-17,100.96,100.96,100.94,100.96,171530000.0
2003-03-18,100.96,100.97,100.95,100.96,235390900.0
2003-03-19,100.95,101.0,100.95,100.99,161582000.0
2003-03-20,100.99,101.03,100.99,101.02,261025000.0
2003-03-21,101.04,101.06,101.03,101.06,247616900.0
2003-03-24,101.08,101.08,101.06,101.08,241230900.0
2003-03-25,101.08,101.09,101.04,101.04,316999000.0
2003-03-26,101.05,101.08,101.02,101.08,294406900.0
2003-03-27,101.11,101.12,101.07,101.1,244728000.0
2003-03-28,101.11,101.14,101.1,101.14,248180000.0
2003-03-31,101.16,101.16,101.08,101.1,226034000.0
2003-04-01,101.11,101.12,101.05,101.07,394596000.0
2003-04-02,101.08,101.08,100.99,101.03,277054000.0
2003-04-03,101.04,101.04,100.99,101.03,252981900.0
2003-04-04,101.04,101.07,101.03,101.07,322068000.0
2003-04-07,101.09,101.09,101.02,101.04,281690900.0
2003-04-08,101.04,101.08,100.99,101.07,270805000.0
2003-04-09,101.08,101.09,101.05,101.05,189186900.0
2003-04-10,101.06,101.06,101.02,101.05,157095000.0
2003-04-11,101.06,101.09,101.05,101.08,236956900.0
2003-04-14,101.09,101.09,101.04,101.08,192459000.0
2003-04-15,101.08,101.11,101.06,101.11,174825000.0
2003-04-16,101.12,101.16,101.1,101.16,213520000.0
2003-04-17,101.16,101.17,101.11,101.13,276783000.0
2003-04-18,101.12,101.12,101.07,101.1,277190900.0
2003-04-21,101.12,101.12,101.08,101.11,184081900.0
2003-04-22,101.12,101.14,101.1,101.13,205784000.0
2003-04-23,101.14,101.96,101.13,101.17,276665000.0
2003-04-24,101.18,101.18,101.14,101.16,209741900.0
2003-04-25,101.16,101.16,101.12,101.15,587156000.0
2003-04-28,101.17,101.18,101.12,101.17,298313000.0
2003-04-29,101.18,101.2,101.16,101.19,263531900.0
2003-04-30,101.2,101.29,101.2,101.27,378308000.0
2003-05-12,101.34,101.34,101.26,101.32,220958000.0
2003-05-13,101.32,101.36,101.3,101.35,240045000.0
2003-05-14,101.37,101.47,101.36,101.46,352836000.0
2003-05-15,101.47,101.61,101.45,101.51,417306900.0
2003-05-16,101.52,101.57,101.51,101.55,461923000.0
2003-05-19,101.58,101.65,101.54,101.63,364193900.0
