date,open,high,low,close,volume
2005-04-08,984.66,1003.7,979.53,1003.45,1476250000.0
2005-04-11,1003.88,1008.73,992.77,995.42,1593610000.0
2005-04-12,993.71,993.71,978.2,978.7,1022620000.0
2005-04-13,987.95,1006.5,987.95,1000.9,1607170000.0
2005-04-14,1004.64,1006.42,985.58,986.97,1294570000.0
2005-04-15,982.61,982.61,971.93,974.08,1040900000.0
2005-04-18,970.91,970.91,958.65,963.77,859840000.0
2005-04-19,962.92,968.87,957.91,965.89,921262000.0
2005-04-20,964.15,964.15,946.2,950.87,885070000.0
2005-04-21,948.86,955.55,938.59,943.98,994615000.0
2005-04-22,942.91,947.91,934.96,939.1,1069190000.0
2005-04-25,935.99,935.99,920.16,930.07,1147050000.0
2005-04-26,928.43,939.7,924.66,937.08,1169050000.0
2005-04-27,938.57,938.91,925.9,926.6,1078060000.0
2005-04-28,923.53,945.5,914.83,942.07,1434350000.0
2005-04-29,940.81,942.45,929.81,932.4,1123540000.0
2005-05-09,934.65,937.39,909.17,909.17,852911000.0
2005-05-10,905.54,913.39,892.31,913.08,1049430000.0
2005-05-11,911.84,917.22,900.44,901.85,904205000.0
2005-05-12,899.97,900.06,883.51,885.82,1022870000.0
2005-05-13,883.51,898.51,875.58,887.54,1124490000.0
2005-05-16,885.39,885.39,869.33,875.27,822428900.0
2005-05-17,873.08,888.28,868.21,881.46,877227000.0
2005-05-18,881.14,890.4,871.82,883.2,787861000.0
2005-05-19,882.84,888.02,871.29,884.17,814957900.0
2005-05-20,883.51,891.02,879.18,882.76,722667900.0
2005-05-23,880.28,880.28,862.1,863.34,727980000.0
2005-05-24,861.2,871.77,855.59,868.46,920692900.0
2005-05-25,867.66,876.3,861.66,868.45,723856000.0
2005-05-26,867.76,872.84,854.96,857.33,662278900.0
2005-05-27,855.59,864.96,848.4,849.51,774997900.0
2005-05-30,847.63,858.46,842.1,855.61,697157900.0
2005-05-31,856.56,863.2,853.29,855.95,704782000.0
2005-06-01,855.21,857.66,836.04,837.53,790230000.0
2005-06-02,835.47,835.49,812.99,818.38,950866000.0
2005-06-03,816.55,823.86,807.97,818.03,793606000.0
2005-06-06,816.73,839.15,807.78,839.0,900918900.0
2005-06-07,841.58,858.09,835.18,837.28,1306710000.0
2005-06-08,848.54,908.83,844.47,905.77,3290780000.0
2005-06-09,907.57,925.36,895.04,912.6,3314180000.0
2005-06-10,911.94,911.94,889.1,894.56,2239150000.0
2005-06-13,895.0,900.18,877.69,892.96,1562800000.0
2005-06-14,895.39,905.41,882.86,883.54,1434360000.0
2005-06-15,881.21,881.25,865.14,866.83,1145410000.0
2005-06-16,866.66,879.49,861.83,879.24,1104970000.0
2005-06-17,883.6,888.08,876.04,880.34,1496300000.0
2005-06-20,881.62,906.48,872.56,906.26,1899210000.0
2005-06-21,906.31,906.31,894.39,896.17,1277480000.0
2005-06-22,894.77,901.24,891.93,900.65,1047810000.0
2005-06-23,900.06,904.9,892.83,893.57,950931000.0
2005-06-24,892.06,898.67,888.4,898.3,891873900.0
2005-06-27,904.21,920.65,904.21,916.04,1654540000.0
2005-06-28,913.48,913.48,901.21,903.72,1040220000.0
2005-06-29,906.75,907.57,898.08,898.9,1080670000.0
2005-06-30,897.1,897.1,876.88,878.69,1085550000.0
2005-07-01,875.93,875.93,858.37,859.49,1009460000.0
2005-07-04,855.32,856.1,842.81,855.93,884027900.0
2005-07-05,853.68,856.74,845.36,849.68,799268900.0
2005-07-06,850.25,854.45,838.61,842.56,689831000.0
2005-07-07,841.75,848.02,839.28,844.73,596246000.0
2005-07-08,842.62,842.62,827.23,829.49,722100000.0
2005-07-11,837.86,850.66,822.52,824.1,843901000.0
2005-07-12,821.91,854.29,818.86,851.82,1498990000.0
2005-07-13,850.47,851.95,841.86,846.23,939883900.0
2005-07-14,844.94,856.09,843.18,849.59,936197000.0
2005-07-15,849.87,854.6,837.78,841.0,888956000.0
2005-07-18,839.22,840.01,829.68,832.99,850000000.0
2005-07-19,831.5,840.14,829.28,835.61,789182000.0
2005-07-20,835.3,844.71,832.14,842.64,852647000.0
2005-07-21,842.75,843.99,835.76,843.99,836610000.0
2005-07-22,847.54,867.16,842.99,859.46,2145140000.0
2005-07-25,858.33,860.95,854.28,856.86,1181610000.0
2005-07-26,856.19,880.03,856.19,876.48,2182680000.0
2005-07-27,876.94,894.03,876.04,894.01,2040950000.0
2005-07-28,893.88,901.0,888.5,890.89,2062250000.0
2005-07-29,889.41,892.29,883.38,888.16,1339740000.0
2005-08-01,887.72,897.28,885.85,891.61,1180830000.0
2005-08-02,892.13,903.65,888.4,903.6,1429250000.0
2005-08-03,905.18,919.28,903.76,909.57,2578630000.0
2005-08-04,907.42,909.83,901.62,904.15,1451930000.0
2005-08-05,904.04,923.81,903.94,923.8,1912380000.0
2005-08-08,926.57,933.15,923.57,927.47,2160890000.0
2005-08-09,926.97,933.39,919.11,933.09,1953290000.0
