date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.0,-1.0,0.0,-1.0,0,0,6308.48,
2017-08-02,0.0,-1.0,0.0,-1.0,0,0,6281.74,-0.42
2017-08-03,0.0,-1.0,0.0,-1.0,0,0,6273.63,-0.13
2017-08-04,0.0,-1.0,0.0,-1.0,0,0,6270.05,-0.06
2017-08-07,0.0,-0.6,0.0,-0.68,0,1,6295.07,0.4
2017-08-08,1.0,-0.0,1.0,-0.5,0,1,6303.66,0.14
2017-08-09,1.0,-0.0,1.0,-0.0,0,0,6295.28,-0.13
2017-08-10,1.0,-0.0,1.0,-0.0,0,0,6269.28,-0.41
2017-08-11,1.0,-0.0,1.0,-0.0,0,0,6168.74,-1.6
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,6231.31,1.01
2017-08-15,0.0,-1.0,0.0,-1.0,0,0,6222.44,-0.14
2017-08-16,0.0,-1.0,0.0,-1.0,0,0,6200.03,-0.36
2017-08-17,0.0,-1.0,0.0,-1.0,0,0,6211.8,0.19
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,6201.19,-0.17
2017-08-21,0.0,-0.0,0.0,-0.0,0,0,6213.02,0.19
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,6208.4,-0.07
2017-08-23,0.0,-0.94,0.0,-1.0,0,1,6200.38,-0.13
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,6172.02,-0.46
2017-08-25,1.0,-0.0,1.0,-0.0,0,0,6203.64,0.51
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,6221.54,0.29
2017-08-29,1.0,-0.0,1.0,-0.0,0,0,6162.44,-0.95
2017-08-30,1.0,-0.0,1.0,-0.0,0,0,6163.57,0.02
2017-08-31,0.0,-1.0,0.0,-1.0,0,0,6156.9,-0.11
2017-09-01,0.52,-0.0,1.0,-0.0,1,0,6172.14,0.25
2017-09-04,0.0,-0.0,0.0,-0.0,0,0,6185.89,0.22
2017-09-05,1.0,-0.0,1.0,-0.0,0,0,6216.38,0.49
2017-09-06,0.0,-1.0,0.0,-1.0,0,0,6180.02,-0.58
2017-09-07,0.0,-1.0,0.0,-1.0,0,0,6167.77,-0.2
2017-09-08,1.0,-0.0,1.0,-0.0,0,0,6232.89,1.06
2017-09-11,1.0,-0.0,1.0,-0.0,0,0,6270.94,0.61
2017-09-12,1.0,-0.0,1.0,-0.0,0,0,6315.93,0.72
2017-09-13,1.0,-0.0,1.0,-0.0,0,0,6363.2,0.75
2017-09-14,1.0,-0.0,1.0,-0.0,0,0,6335.7,-0.43
2017-09-15,0.0,-0.0,1.0,-0.0,1,0,6359.56,0.38
