date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.0,-0.32,0.0,-1.0,0,1,1182.13,
2017-08-02,0.0,-1.0,0.0,-1.0,0,0,1178.57,-0.3
2017-08-03,0.0,-1.0,0.0,-1.0,0,0,1175.83,-0.23
2017-08-04,0.0,-1.0,0.0,-1.0,0,0,1173.82,-0.17
2017-08-07,0.64,-0.0,0.16,-0.0,1,0,1177.54,0.32
2017-08-08,0.0,-1.0,0.0,-1.0,0,0,1179.08,0.13
2017-08-09,1.0,-0.48,0.92,-0.58,1,1,1179.98,0.08
2017-08-10,1.0,-0.0,1.0,-0.12,0,1,1175.82,-0.35
2017-08-11,1.0,-0.0,1.0,-0.0,0,0,1160.95,-1.26
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,1170.99,0.86
2017-08-15,0.0,-1.0,0.0,-1.0,0,0,1171.34,0.03
2017-08-16,0.0,-1.0,0.0,-1.0,0,0,1169.27,-0.18
2017-08-17,0.0,-1.0,0.0,-1.0,0,0,1170.48,0.1
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,1170.89,0.04
2017-08-21,0.0,-1.0,0.0,-1.0,0,0,1168.37,-0.22
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,1164.16,-0.36
2017-08-23,0.0,-1.0,0.0,-1.0,0,0,1160.91,-0.28
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,1153.3,-0.66
2017-08-25,0.0,-0.0,0.0,-0.0,0,0,1153.9,0.05
2017-08-28,0.0,-0.0,0.0,-0.0,0,0,1155.5,0.14
2017-08-29,0.0,-0.0,0.0,-0.0,0,0,1148.23,-0.63
2017-08-30,0.0,-0.0,0.0,-0.0,0,0,1150.04,0.16
2017-08-31,0.0,-1.0,0.0,-1.0,0,0,1148.8,-0.11
2017-09-01,0.0,-0.0,0.0,-0.0,0,0,1150.98,0.19
2017-09-04,0.0,-0.0,0.0,-0.0,0,0,1152.03,0.09
2017-09-05,0.0,-1.0,0.0,-1.0,0,0,1155.47,0.3
2017-09-06,0.0,-1.0,0.0,-1.0,0,0,1152.0,-0.3
2017-09-07,0.0,-1.0,0.0,-1.0,0,0,1150.34,-0.14
2017-09-08,1.0,-0.0,1.0,-0.0,0,0,1162.84,1.09
2017-09-11,1.0,-0.0,1.0,-0.0,0,0,1169.6,0.58
2017-09-12,0.59,-1.0,0.57,-1.0,1,0,1170.92,0.11
2017-09-13,0.0,-1.0,0.0,-1.0,0,0,1177.96,0.6
2017-09-14,1.0,-1.0,1.0,-0.88,0,1,1176.02,-0.16
2017-09-15,0.0,-0.18,1.0,-0.0,1,1,1182.2,0.53
