date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,1.0,-0.0,1.0,-0.0,0,0,2681.81,
2017-08-02,0.0,-0.05,0.0,-0.53,0,1,2680.63,-0.04
2017-08-03,1.0,-1.0,1.0,-1.0,0,0,2646.22,-1.28
2017-08-04,0.0,-1.0,0.0,-1.0,0,0,2627.8,-0.7
2017-08-07,0.0,-1.0,0.0,-1.0,0,0,2634.18,0.24
2017-08-08,0.0,-1.0,0.0,-1.0,0,0,2635.18,0.04
2017-08-09,0.0,-1.0,0.0,-1.0,0,0,2620.38,-0.56
2017-08-10,0.0,-1.0,0.0,-1.0,0,0,2611.34,-0.34
2017-08-11,0.0,-1.0,0.0,-1.0,0,0,2570.26,-1.57
2017-08-14,0.0,-0.0,0.0,-0.0,0,0,2591.45,0.82
2017-08-15,0.0,-0.44,0.0,-0.5,0,1,2605.24,0.53
2017-08-16,0.0,-1.0,0.0,-1.0,0,0,2595.0,-0.39
2017-08-17,0.0,-0.0,0.0,-0.0,0,0,2604.08,0.35
2017-08-18,0.57,-0.0,1.0,-0.0,1,0,2613.26,0.35
2017-08-21,0.0,-0.87,0.0,-1.0,0,1,2616.82,0.14
2017-08-22,1.0,-0.0,1.0,-0.0,0,0,2643.5,1.02
2017-08-23,1.0,-0.0,1.0,-0.0,0,0,2659.78,0.62
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,2646.4,-0.5
2017-08-25,1.0,-0.0,1.0,-0.0,0,0,2706.24,2.26
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,2736.46,1.12
2017-08-29,0.0,-1.0,0.0,-1.0,0,0,2739.13,0.1
2017-08-30,1.0,-0.0,1.0,-0.0,0,0,2728.23,-0.4
2017-08-31,1.0,-0.0,1.0,-0.0,0,0,2714.63,-0.5
2017-09-01,1.0,-0.0,1.0,-0.0,0,0,2710.12,-0.17
2017-09-04,1.0,-0.0,1.0,-0.0,0,0,2711.35,0.05
2017-09-05,1.0,-0.0,1.0,-0.0,0,0,2729.85,0.68
2017-09-06,0.0,-0.42,0.0,-0.5,0,1,2714.33,-0.57
2017-09-07,1.0,-1.0,0.83,-1.0,1,0,2691.83,-0.83
2017-09-08,0.0,-1.0,0.0,-1.0,0,0,2686.69,-0.19
2017-09-11,0.0,-1.0,0.0,-1.0,0,0,2674.75,-0.44
2017-09-12,0.0,-0.27,0.0,-0.47,0,1,2692.54,0.67
2017-09-13,0.0,-1.0,0.0,-1.0,0,0,2687.67,-0.18
2017-09-14,0.0,-1.0,0.0,-1.0,0,0,2672.84,-0.55
2017-09-15,0.0,-1.0,0.0,-1.0,0,0,2668.38,-0.17
