date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.4,-1.0,0.0,-1.0,1,0,7784.95,
2017-08-02,0.22,-1.0,0.01,-1.0,1,0,7766.45,-0.24
2017-08-03,1.0,-0.0,1.0,-0.0,0,0,7695.94,-0.91
2017-08-04,1.0,-0.0,1.0,-0.0,0,0,7612.27,-1.09
2017-08-07,0.0,-0.0,0.0,-0.0,0,0,7664.45,0.69
2017-08-08,0.0,-0.0,0.0,-0.0,0,0,7680.72,0.21
2017-08-09,1.0,-0.0,1.0,-0.0,0,0,7708.62,0.36
2017-08-10,0.0,-0.12,0.0,-0.25,0,1,7701.81,-0.09
2017-08-11,0.0,-1.0,0.0,-1.0,0,0,7589.0,-1.46
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,7795.57,2.72
2017-08-15,0.0,-1.0,0.0,-1.0,0,0,7850.32,0.7
2017-08-16,0.0,-0.11,0.0,-0.3,0,1,7899.45,0.63
2017-08-17,0.0,-1.0,0.0,-1.0,0,0,7925.48,0.33
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,7887.57,-0.48
2017-08-21,0.0,-1.0,0.0,-1.0,0,0,7942.61,0.7
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,7924.81,-0.22
2017-08-23,0.0,-1.0,0.0,-1.0,0,0,7905.33,-0.25
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,7847.57,-0.73
2017-08-25,0.0,-0.72,0.0,-0.66,0,1,7925.59,0.99
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,8038.47,1.42
2017-08-29,0.0,-0.44,0.0,-0.67,0,1,8011.89,-0.33
2017-08-30,1.0,-0.02,0.73,-0.25,1,1,8045.31,0.42
2017-08-31,0.0,-0.99,0.0,-0.93,0,1,8068.91,0.29
2017-09-01,1.0,-0.0,0.58,-0.0,1,0,8131.35,0.77
2017-09-04,0.0,-0.0,0.0,-0.0,0,0,8192.35,0.75
2017-09-05,0.0,-0.0,0.0,-0.0,0,0,8238.79,0.57
2017-09-06,0.0,-0.0,0.0,-0.0,0,0,8244.57,0.07
2017-09-07,1.0,-0.0,1.0,-0.0,0,0,8195.77,-0.59
2017-09-08,1.0,-0.0,1.0,-0.0,0,0,8203.28,0.09
2017-09-11,1.0,-0.0,1.0,-0.0,0,0,8301.02,1.19
2017-09-12,1.0,-0.0,1.0,-0.0,0,0,8312.55,0.14
2017-09-13,1.0,-0.1,1.0,-0.12,0,1,8333.23,0.25
2017-09-14,1.0,-0.0,1.0,-0.0,0,0,8278.56,-0.66
2017-09-15,1.0,-0.0,1.0,-0.0,0,0,8246.88,-0.38
