date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.0,-1.0,0.0,-1.0,0,0,1968.59,
2017-08-02,0.0,-1.0,0.0,-1.0,0,0,1954.81,-0.7
2017-08-03,0.0,-1.0,0.0,-1.0,0,0,1954.71,-0.01
2017-08-04,0.0,-1.0,0.0,-1.0,0,0,1943.48,-0.57
2017-08-07,1.0,-0.0,1.0,-0.0,0,0,1957.93,0.74
2017-08-08,0.0,-0.0,0.0,-0.0,0,0,1965.14,0.37
2017-08-09,0.0,-0.0,0.0,-0.0,0,0,1971.84,0.34
2017-08-10,0.0,-1.0,0.0,-1.0,0,0,1958.27,-0.69
2017-08-11,1.0,-1.0,1.0,-1.0,0,0,1926.87,-1.6
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,1965.82,2.02
2017-08-15,0.0,-0.0,0.0,-0.0,0,0,1973.71,0.4
2017-08-16,0.0,-0.0,0.0,-0.0,0,0,1985.37,0.59
2017-08-17,0.0,-0.29,0.0,-0.34,0,1,1996.91,0.58
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,1989.42,-0.38
2017-08-21,0.0,-0.0,0.0,-0.0,0,0,2004.31,0.75
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,1995.83,-0.42
2017-08-23,0.0,-1.0,0.0,-1.0,0,0,1989.21,-0.33
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,1977.18,-0.6
2017-08-25,1.0,-0.06,1.0,-0.03,0,1,1997.79,1.04
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,2025.74,1.4
2017-08-29,0.0,-1.0,0.0,-1.0,0,0,2020.84,-0.24
2017-08-30,0.0,-1.0,0.0,-1.0,0,0,2028.01,0.35
2017-08-31,0.0,-1.0,0.0,-1.0,0,0,2034.36,0.31
2017-09-01,0.0,-0.23,0.0,-0.36,0,1,2046.33,0.59
2017-09-04,0.21,-0.0,0.0,-0.01,1,1,2058.67,0.6
2017-09-05,0.0,-1.0,0.0,-1.0,0,0,2062.87,0.2
2017-09-06,0.0,-0.27,0.0,-0.34,0,1,2070.65,0.38
2017-09-07,0.0,-0.0,0.0,-0.0,0,0,2063.53,-0.34
2017-09-08,0.0,-0.0,0.0,-0.0,0,0,2066.74,0.16
2017-09-11,0.73,-0.0,0.38,-0.0,1,0,2083.34,0.8
2017-09-12,0.0,-0.88,0.0,-0.86,0,1,2077.54,-0.28
2017-09-13,1.0,-0.0,1.0,-0.0,0,0,2086.7,0.44
2017-09-14,0.0,-1.0,0.0,-1.0,0,0,2085.2,-0.07
2017-09-15,1.0,-0.0,1.0,-0.0,0,0,2079.34,-0.28
