date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.73,-0.0,0.26,-0.0,1,0,335.42,
2017-08-02,1.0,-0.0,1.0,-0.0,0,0,333.95,-0.44
2017-08-03,0.01,-0.35,0.0,-0.45,1,1,334.08,0.04
2017-08-04,0.0,-1.0,0.0,-1.0,0,0,333.95,-0.04
2017-08-07,0.0,-1.0,0.0,-1.0,0,0,334.54,0.18
2017-08-08,0.0,-1.0,0.0,-1.0,0,0,334.76,0.07
2017-08-09,0.0,-0.0,0.0,-0.0,0,0,336.24,0.44
2017-08-10,0.0,-1.0,0.0,-1.0,0,0,335.49,-0.22
2017-08-11,1.0,-0.0,1.0,-0.0,0,0,331.51,-1.19
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,334.93,1.03
2017-08-15,0.0,-1.0,0.0,-1.0,0,0,334.53,-0.12
2017-08-16,0.0,-1.0,0.0,-1.0,0,0,334.75,0.07
2017-08-17,0.0,-0.0,0.0,-0.0,0,0,336.88,0.64
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,337.54,0.2
2017-08-21,0.0,-1.0,0.0,-1.0,0,0,339.07,0.45
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,338.08,-0.29
2017-08-23,0.0,-1.0,0.0,-1.0,0,0,337.18,-0.27
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,336.44,-0.22
2017-08-25,0.37,-0.0,0.0,-0.0,1,0,339.15,0.81
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,341.93,0.82
2017-08-29,0.0,-0.56,0.0,-0.75,0,1,340.81,-0.33
2017-08-30,1.0,-0.0,1.0,-0.0,0,0,343.62,0.82
2017-08-31,1.0,-0.0,1.0,-0.0,0,0,345.2,0.46
2017-09-01,1.0,-0.0,1.0,-0.0,0,0,345.06,-0.04
2017-09-04,0.91,-0.0,0.6,-0.0,1,0,344.6,-0.13
2017-09-05,1.0,-0.0,1.0,-0.0,0,0,346.45,0.54
2017-09-06,0.0,-0.0,0.0,-0.14,0,1,347.83,0.4
2017-09-07,0.0,-0.53,0.0,-0.65,0,1,347.44,-0.11
2017-09-08,1.0,-0.0,1.0,-0.0,0,0,355.51,2.32
2017-09-11,1.0,-0.0,1.0,-0.0,0,0,359.71,1.18
2017-09-12,0.0,-0.01,0.0,-0.0,0,1,357.91,-0.5
2017-09-13,0.01,-0.07,0.0,-0.11,1,1,359.53,0.45
2017-09-14,1.0,-0.43,1.0,-0.37,0,1,358.04,-0.41
2017-09-15,1.0,-0.0,1.0,-0.0,0,0,355.2,-0.79
