date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,1.0,-0.0,1.0,-0.0,0,0,3033.94,
2017-08-02,1.0,-0.0,0.6,-0.01,1,1,3049.82,0.52
2017-08-03,1.0,-0.0,1.0,-0.0,0,0,3020.63,-0.96
2017-08-04,1.0,-0.0,1.0,-0.0,0,0,3003.6,-0.56
2017-08-07,0.0,-1.0,0.0,-1.0,0,0,3003.97,0.01
2017-08-08,0.0,-1.0,0.0,-1.0,0,0,3009.68,0.19
2017-08-09,0.0,-1.0,0.0,-1.0,0,0,2971.05,-1.28
2017-08-10,0.0,-1.0,0.0,-1.0,0,0,2959.06,-0.4
2017-08-11,0.0,-1.0,0.0,-1.0,0,0,2927.97,-1.05
2017-08-14,0.0,-1.0,0.0,-1.0,0,0,2935.12,0.24
2017-08-15,0.0,-0.87,0.0,-0.73,0,1,2965.42,1.03
2017-08-16,0.0,-1.0,0.0,-1.0,0,0,2957.81,-0.26
2017-08-17,0.0,-0.0,0.0,-0.82,0,1,2971.19,0.45
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,2978.43,0.24
2017-08-21,0.0,-1.0,0.0,-1.0,0,0,2980.67,0.08
2017-08-22,1.0,-0.82,1.0,-1.0,0,1,2998.27,0.59
2017-08-23,1.0,-1.0,1.0,-1.0,0,0,3027.11,0.96
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,3020.17,-0.23
2017-08-25,1.0,-0.0,1.0,-0.0,0,0,3108.52,2.93
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,3129.8,0.68
2017-08-29,0.0,-0.92,0.0,-1.0,0,1,3143.88,0.45
2017-08-30,1.0,-0.0,1.0,-0.0,0,0,3119.8,-0.77
2017-08-31,1.0,-0.0,1.0,-0.0,0,0,3102.14,-0.57
2017-09-01,1.0,-0.0,1.0,-0.0,0,0,3085.9,-0.52
2017-09-04,1.0,-0.0,1.0,-0.0,0,0,3102.48,0.54
2017-09-05,1.0,-0.0,1.0,-0.0,0,0,3132.47,0.97
2017-09-06,0.0,-0.0,0.0,-0.0,0,0,3116.43,-0.51
2017-09-07,1.0,-0.02,1.0,-0.13,0,1,3095.75,-0.66
2017-09-08,0.0,-1.0,0.0,-1.0,0,0,3091.24,-0.15
2017-09-11,0.0,-1.0,0.0,-1.0,0,0,3085.84,-0.17
2017-09-12,1.0,-0.0,1.0,-0.2,0,1,3097.81,0.39
2017-09-13,0.0,-1.0,0.0,-1.0,0,0,3089.49,-0.27
2017-09-14,0.0,-1.0,0.0,-1.0,0,0,3072.48,-0.55
2017-09-15,0.0,-1.0,0.0,-1.0,0,0,3057.95,-0.47
