date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,1.0,-0.0,1.0,-0.0,0,0,6091.07,
2017-08-02,0.0,-0.0,0.0,-0.0,0,0,6089.64,-0.02
2017-08-03,1.0,-0.0,1.0,-0.0,0,0,6064.45,-0.41
2017-08-04,0.0,-1.0,0.0,-1.0,0,0,6052.77,-0.19
2017-08-07,0.0,-1.0,0.0,-1.0,0,0,6066.32,0.22
2017-08-08,0.0,-1.0,0.0,-1.0,0,0,6066.8,0.01
2017-08-09,0.0,-1.0,0.0,-1.0,0,0,6061.52,-0.09
2017-08-10,0.0,-1.0,0.0,-1.0,0,0,6049.39,-0.2
2017-08-11,0.0,-0.3,0.0,-0.49,0,1,6001.47,-0.79
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,6033.65,0.54
2017-08-15,0.0,-1.0,0.0,-1.0,0,0,6042.17,0.14
2017-08-16,0.0,-1.0,0.0,-1.0,0,0,6037.1,-0.08
2017-08-17,0.16,-0.0,0.12,-0.0,1,0,6053.42,0.27
2017-08-18,1.0,-0.0,1.0,-0.0,0,0,6058.27,0.08
2017-08-21,0.0,-1.0,0.0,-1.0,0,0,6066.04,0.13
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,6077.31,0.19
2017-08-23,0.0,-1.0,0.0,-1.0,0,0,6082.81,0.09
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,6070.97,-0.19
2017-08-25,1.0,-0.0,1.0,-0.0,0,0,6119.19,0.79
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,6151.1,0.52
2017-08-29,0.0,-0.46,0.0,-0.48,0,1,6147.96,-0.05
2017-08-30,0.0,-0.43,0.0,-0.51,0,1,6144.56,-0.06
2017-08-31,0.0,-0.0,0.0,-0.0,0,0,6142.37,-0.04
2017-09-01,0.0,-0.0,0.0,-0.0,0,0,6148.33,0.1
2017-09-04,0.0,-0.0,0.0,-0.0,0,0,6153.75,0.09
2017-09-05,0.5,-0.0,0.4,-0.0,1,0,6162.9,0.15
2017-09-06,0.0,-1.0,0.0,-1.0,0,0,6156.91,-0.1
2017-09-07,1.0,-1.0,1.0,-1.0,0,0,6140.24,-0.27
2017-09-08,1.0,-1.0,1.0,-1.0,0,0,6140.62,0.01
2017-09-11,0.0,-1.0,0.0,-1.0,0,0,6145.66,0.08
2017-09-12,1.0,-0.46,1.0,-0.71,0,1,6152.91,0.12
2017-09-13,1.0,-1.0,1.0,-1.0,0,0,6152.67,-0.0
2017-09-14,0.0,-1.0,0.0,-1.0,0,0,6140.72,-0.19
2017-09-15,0.04,-1.0,0.0,-1.0,1,0,6138.15,-0.04
