date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.68,-0.19,0.18,-0.46,1,1,5117.37,
2017-08-02,0.0,-0.68,0.0,-0.81,0,1,5105.48,-0.23
2017-08-03,1.0,-0.5,1.0,-0.59,0,1,5061.13,-0.87
2017-08-04,1.0,-0.66,1.0,-0.82,0,1,5017.48,-0.86
2017-08-07,0.95,-0.41,0.58,-0.54,1,1,5056.03,0.77
2017-08-08,0.54,-0.0,0.3,-0.0,1,0,5076.6,0.41
2017-08-09,0.0,-0.0,0.0,-0.0,0,0,5098.86,0.44
2017-08-10,0.0,-1.0,0.0,-1.0,0,0,5073.58,-0.5
2017-08-11,0.0,-1.0,0.0,-1.0,0,0,4969.26,-2.06
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,5075.22,2.13
2017-08-15,0.0,-1.0,0.0,-1.0,0,0,5088.3,0.26
2017-08-16,1.0,-0.0,1.0,-0.0,0,0,5101.41,0.26
2017-08-17,0.0,-0.0,0.0,-0.0,0,0,5120.02,0.36
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,5108.69,-0.22
2017-08-21,1.0,-0.0,1.0,-0.0,0,0,5144.9,0.71
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,5138.43,-0.13
2017-08-23,0.0,-1.0,0.0,-1.0,0,0,5140.81,0.05
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,5115.29,-0.5
2017-08-25,1.0,-0.0,1.0,-0.0,0,0,5168.78,1.05
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,5257.75,1.72
2017-08-29,1.0,-0.0,1.0,-0.0,0,0,5231.33,-0.5
2017-08-30,0.0,-0.0,0.0,-0.0,0,0,5253.37,0.42
2017-08-31,0.0,-0.55,0.0,-0.57,0,1,5244.38,-0.17
2017-09-01,0.0,-0.0,0.0,-0.0,0,0,5267.05,0.43
2017-09-04,0.99,-0.0,0.68,-0.0,1,0,5304.14,0.7
2017-09-05,0.0,-0.09,0.0,-0.06,0,1,5322.33,0.34
2017-09-06,0.0,-0.0,0.0,-0.01,0,1,5324.63,0.04
2017-09-07,1.0,-0.0,1.0,-0.0,0,0,5304.45,-0.38
2017-09-08,1.0,-0.0,1.0,-0.0,0,0,5300.26,-0.08
2017-09-11,1.0,-0.0,1.0,-0.0,0,0,5329.14,0.54
2017-09-12,1.0,-0.0,1.0,-0.0,0,0,5320.17,-0.17
2017-09-13,1.0,-0.0,1.0,-0.0,0,0,5345.79,0.48
2017-09-14,0.0,-1.0,0.0,-1.0,0,0,5330.57,-0.28
2017-09-15,1.0,-0.0,1.0,-0.0,0,0,5347.4,0.32
