date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.52,-1.0,0.12,-1.0,1,0,7070.7,
2017-08-02,0.31,-1.0,0.11,-1.0,1,0,7053.9,-0.24
2017-08-03,1.0,-0.0,1.0,-0.0,0,0,6989.86,-0.91
2017-08-04,1.0,-0.0,1.0,-0.0,0,0,6913.45,-1.09
2017-08-07,0.0,-0.0,0.0,-0.0,0,0,6960.84,0.69
2017-08-08,0.0,-0.0,0.0,-0.0,0,0,6975.61,0.21
2017-08-09,1.0,-0.0,1.0,-0.0,0,0,7000.95,0.36
2017-08-10,0.0,-0.35,0.0,-0.49,0,1,6994.76,-0.09
2017-08-11,0.0,-1.0,0.0,-1.0,0,0,6892.32,-1.46
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,7079.92,2.72
2017-08-15,0.0,-1.0,0.0,-1.0,0,0,7129.65,0.7
2017-08-16,0.0,-0.33,0.0,-0.52,0,1,7174.27,0.63
2017-08-17,0.0,-1.0,0.0,-1.0,0,0,7197.91,0.33
2017-08-18,0.0,-1.0,0.0,-1.0,0,0,7163.48,-0.48
2017-08-21,0.0,-1.0,0.0,-1.0,0,0,7213.47,0.7
2017-08-22,0.0,-1.0,0.0,-1.0,0,0,7197.3,-0.22
2017-08-23,0.0,-1.0,0.0,-1.0,0,0,7179.6,-0.25
2017-08-24,0.0,-1.0,0.0,-1.0,0,0,7125.78,-0.75
2017-08-25,0.0,-0.79,0.0,-0.72,0,1,7196.63,0.99
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,7299.12,1.42
2017-08-29,0.0,-0.5,0.0,-0.73,0,1,7274.99,-0.33
2017-08-30,1.0,-0.09,0.58,-0.37,1,1,7305.33,0.42
2017-08-31,0.0,-1.0,0.0,-1.0,0,0,7326.76,0.29
2017-09-01,0.97,-0.0,0.55,-0.0,1,0,7383.46,0.77
2017-09-04,0.0,-0.0,0.0,-0.0,0,0,7438.85,0.75
2017-09-05,0.0,-0.0,0.0,-0.0,0,0,7481.02,0.57
2017-09-06,0.0,-0.0,0.0,-0.0,0,0,7486.27,0.07
2017-09-07,1.0,-0.0,1.0,-0.0,0,0,7441.96,-0.59
2017-09-08,1.0,-0.0,1.0,-0.0,0,0,7448.77,0.09
2017-09-11,1.0,-0.0,1.0,-0.0,0,0,7537.53,1.19
2017-09-12,1.0,-0.0,1.0,-0.0,0,0,7547.99,0.14
2017-09-13,1.0,-0.15,1.0,-0.19,0,1,7566.77,0.25
2017-09-14,1.0,-0.0,1.0,-0.0,0,0,7517.13,-0.66
2017-09-15,1.0,-0.0,1.0,-0.0,0,0,7488.37,-0.38
