date,signal_close_buy,signal_close_sell,signal_buy,signal_sell,diff_buy,diff_sell,close,pct_change
2017-08-01,0.0,-1.0,0.0,-1.0,0,0,1813.42,
2017-08-02,0.0,-1.0,0.0,-1.0,0,0,1796.51,-0.93
2017-08-03,0.0,-1.0,0.0,-1.0,0,0,1805.14,0.48
2017-08-04,0.0,-1.0,0.0,-1.0,0,0,1791.07,-0.78
2017-08-07,1.0,-0.0,1.0,-0.0,0,0,1804.42,0.75
2017-08-08,1.0,-0.0,1.0,-0.0,0,0,1835.66,1.73
2017-08-09,1.0,-0.0,1.0,-0.0,0,0,1836.31,0.04
2017-08-10,0.06,-0.0,0.0,-0.0,1,0,1826.54,-0.53
2017-08-11,0.0,-0.6,0.0,-0.65,0,1,1814.53,-0.66
2017-08-14,1.0,-0.0,1.0,-0.0,0,0,1868.01,2.95
2017-08-15,0.0,-0.83,0.0,-0.96,0,1,1873.31,0.28
2017-08-16,1.0,-0.0,1.0,-0.0,0,0,1901.03,1.48
2017-08-17,1.0,-0.0,1.0,-0.0,0,0,1909.58,0.45
2017-08-18,0.49,-0.0,0.49,-0.0,1,0,1897.51,-0.63
2017-08-21,0.0,-0.04,0.0,-0.0,0,1,1905.23,0.41
2017-08-22,1.0,-0.0,1.0,-0.0,0,0,1890.33,-0.78
2017-08-23,1.0,-0.0,1.0,-0.0,0,0,1882.47,-0.42
2017-08-24,1.0,-0.0,1.0,-0.0,0,0,1870.36,-0.64
2017-08-25,1.0,-0.0,1.0,-0.0,0,0,1888.27,0.96
2017-08-28,1.0,-0.0,1.0,-0.0,0,0,1919.46,1.65
2017-08-29,0.0,-1.0,0.0,-1.0,0,0,1907.76,-0.61
2017-08-30,0.0,-1.0,0.0,-1.0,0,0,1915.09,0.38
2017-08-31,0.0,-1.0,0.0,-1.0,0,0,1926.28,0.58
2017-09-01,1.0,-1.0,1.0,-1.0,0,0,1942.81,0.86
2017-09-04,1.0,-0.28,1.0,-0.41,0,1,1961.95,0.99
2017-09-05,0.0,-1.0,0.0,-1.0,0,0,1963.56,0.08
2017-09-06,1.0,-0.0,1.0,-0.0,0,0,1981.99,0.94
2017-09-07,1.0,-0.0,1.0,-0.0,0,0,1968.99,-0.66
2017-09-08,0.0,-0.0,0.35,-0.0,1,0,1963.67,-0.27
2017-09-11,0.24,-0.0,0.23,-0.0,1,0,1975.23,0.59
2017-09-12,1.0,-0.0,1.0,-0.0,0,0,1962.85,-0.63
2017-09-13,1.0,-0.0,1.0,-0.0,0,0,1966.96,0.21
2017-09-14,0.0,-1.0,0.0,-1.0,0,0,1957.4,-0.49
2017-09-15,1.0,-0.0,1.0,-0.0,0,0,1953.63,-0.19
