,signal_close_buy,signal_close_sell
2017-08-01,0.0,-1.0
2017-08-02,1.0,-0.0
2017-08-03,0.0,-1.0
2017-08-04,0.0,-1.0
2017-08-07,0.5960502624511719,-0.12250471115112305
2017-08-08,0.0,-1.0
2017-08-09,0.0,-1.0
2017-08-10,0.0,-1.0
2017-08-11,0.0,-0.0
2017-08-14,0.0,-0.5809409618377686
2017-08-15,1.0,-0.0
2017-08-16,0.41162109375,-1.0
2017-08-17,0.0,-0.0
2017-08-18,0.0,-0.0
2017-08-21,0.0,-1.0
2017-08-22,1.0,-0.0
2017-08-23,0.0,-0.09600615501403809
2017-08-24,0.0,-1.0
2017-08-25,0.0,-1.0
2017-08-28,1.0,-0.0
2017-08-29,0.0,-0.0
2017-08-30,1.0,-0.0
2017-08-31,1.0,-0.0
2017-09-01,1.0,-0.0
2017-09-04,1.0,-0.0
2017-09-05,0.13326072692871094,-0.0
2017-09-06,0.0,-0.6951050758361816
2017-09-07,1.0,-0.0
2017-09-08,1.0,-0.0
2017-09-11,0.0,-0.0
2017-09-12,0.0,-1.0
2017-09-13,0.0,-1.0
2017-09-14,1.0,-0.0
2017-09-15,0.0,-0.0
