,signal_close_buy,signal_close_sell
2017-08-01,0.0,-1.0
2017-08-02,0.0,-1.0
2017-08-03,0.0,-1.0
2017-08-04,0.0,-1.0
2017-08-07,0.0,-0.6045651435852051
2017-08-08,1.0,-0.0
2017-08-09,1.0,-0.0
2017-08-10,1.0,-0.0
2017-08-11,1.0,-0.0
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,0.0,-1.0
2017-08-17,0.0,-1.0
2017-08-18,0.0,-1.0
2017-08-21,0.0,-0.0
2017-08-22,0.0,-1.0
2017-08-23,0.0,-0.9364175796508789
2017-08-24,0.0,-1.0
2017-08-25,1.0,-0.0
2017-08-28,1.0,-0.0
2017-08-29,1.0,-0.0
2017-08-30,1.0,-0.0
2017-08-31,0.0,-1.0
2017-09-01,0.5201988220214844,-0.0
2017-09-04,0.0,-0.0
2017-09-05,1.0,-0.0
2017-09-06,0.0,-1.0
2017-09-07,0.0,-1.0
2017-09-08,1.0,-0.0
2017-09-11,1.0,-0.0
2017-09-12,1.0,-0.0
2017-09-13,1.0,-0.0
2017-09-14,1.0,-0.0
2017-09-15,0.0,-0.0
