,signal_close_buy,signal_close_sell
2017-08-01,0.6782741546630859,-0.1917402744293213
2017-08-02,0.0,-0.6760654449462891
2017-08-03,1.0,-0.5046131610870361
2017-08-04,1.0,-0.6638031005859375
2017-08-07,0.9530477523803711,-0.4079105854034424
2017-08-08,0.54052734375,-0.0
2017-08-09,0.0,-0.0
2017-08-10,0.0,-1.0
2017-08-11,0.0,-1.0
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,1.0,-0.0
2017-08-17,0.0,-0.0
2017-08-18,0.0,-1.0
2017-08-21,1.0,-0.0
2017-08-22,0.0,-1.0
2017-08-23,0.0,-1.0
2017-08-24,0.0,-1.0
2017-08-25,1.0,-0.0
2017-08-28,1.0,-0.0
2017-08-29,1.0,-0.0
2017-08-30,0.0,-0.0
2017-08-31,0.0,-0.5522089004516602
2017-09-01,0.0,-0.0
2017-09-04,0.987755298614502,-0.0
2017-09-05,0.0,-0.09388542175292969
2017-09-06,0.0,-0.0
2017-09-07,1.0,-0.0
2017-09-08,1.0,-0.0
2017-09-11,1.0,-0.0
2017-09-12,1.0,-0.0
2017-09-13,1.0,-0.0
2017-09-14,0.0,-1.0
2017-09-15,1.0,-0.0
