,signal_close_buy,signal_close_sell
2017-08-01,1.0,-0.0
2017-08-02,0.0,-0.0
2017-08-03,1.0,-0.0
2017-08-04,0.0,-1.0
2017-08-07,0.0,-1.0
2017-08-08,0.0,-1.0
2017-08-09,0.0,-1.0
2017-08-10,0.0,-1.0
2017-08-11,0.0,-0.29842543601989746
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,0.0,-1.0
2017-08-17,0.1582956314086914,-0.0
2017-08-18,1.0,-0.0
2017-08-21,0.0,-1.0
2017-08-22,0.0,-1.0
2017-08-23,0.0,-1.0
2017-08-24,0.0,-1.0
2017-08-25,1.0,-0.0
2017-08-28,1.0,-0.0
2017-08-29,0.0,-0.46137356758117676
2017-08-30,0.0,-0.4282097816467285
2017-08-31,0.0,-0.0
2017-09-01,0.0,-0.0
2017-09-04,0.0,-0.0
2017-09-05,0.5021686553955078,-0.0
2017-09-06,0.0,-1.0
2017-09-07,1.0,-1.0
2017-09-08,1.0,-1.0
2017-09-11,0.0,-1.0
2017-09-12,1.0,-0.46409034729003906
2017-09-13,1.0,-1.0
2017-09-14,0.0,-1.0
2017-09-15,0.036980628967285156,-1.0
