,signal_close_buy,signal_close_sell
2017-08-01,0.0,-0.32022929191589355
2017-08-02,0.0,-1.0
2017-08-03,0.0,-1.0
2017-08-04,0.0,-1.0
2017-08-07,0.6385712623596191,-0.0
2017-08-08,0.0,-1.0
2017-08-09,1.0,-0.4816761016845703
2017-08-10,1.0,-0.0
2017-08-11,1.0,-0.0
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,0.0,-1.0
2017-08-17,0.0,-1.0
2017-08-18,0.0,-1.0
2017-08-21,0.0,-1.0
2017-08-22,0.0,-1.0
2017-08-23,0.0,-1.0
2017-08-24,0.0,-1.0
2017-08-25,0.0,-0.0
2017-08-28,0.0,-0.0
2017-08-29,0.0,-0.0
2017-08-30,0.0,-0.0
2017-08-31,0.0,-1.0
2017-09-01,0.0,-0.0
2017-09-04,0.0,-0.0
2017-09-05,0.0,-1.0
2017-09-06,0.0,-1.0
2017-09-07,0.0,-1.0
2017-09-08,1.0,-0.0
2017-09-11,1.0,-0.0
2017-09-12,0.5907011032104492,-1.0
2017-09-13,0.0,-1.0
2017-09-14,1.0,-1.0
2017-09-15,0.0,-0.1774613857269287
