,signal_close_buy,signal_close_sell
2017-08-01,0.5248956680297852,-1.0
2017-08-02,0.3140554428100586,-1.0
2017-08-03,1.0,-0.0
2017-08-04,1.0,-0.0
2017-08-07,0.0,-0.0
2017-08-08,0.0,-0.0
2017-08-09,1.0,-0.0
2017-08-10,0.0,-0.35431718826293945
2017-08-11,0.0,-1.0
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,0.0,-0.3274979591369629
2017-08-17,0.0,-1.0
2017-08-18,0.0,-1.0
2017-08-21,0.0,-1.0
2017-08-22,0.0,-1.0
2017-08-23,0.0,-1.0
2017-08-24,0.0,-1.0
2017-08-25,0.0,-0.7909154891967773
2017-08-28,1.0,-0.0
2017-08-29,0.0,-0.5046672821044922
2017-08-30,1.0,-0.09180569648742676
2017-08-31,0.0,-1.0
2017-09-01,0.9746155738830566,-0.0
2017-09-04,0.0,-0.0
2017-09-05,0.0,-0.0
2017-09-06,0.0,-0.0
2017-09-07,1.0,-0.0
2017-09-08,1.0,-0.0
2017-09-11,1.0,-0.0
2017-09-12,1.0,-0.0
2017-09-13,1.0,-0.15121102333068848
2017-09-14,1.0,-0.0
2017-09-15,1.0,-0.0
