,signal_close_buy,signal_close_sell
2017-08-01,1.0,-0.0
2017-08-02,0.0,-0.04526543617248535
2017-08-03,1.0,-1.0
2017-08-04,0.0,-1.0
2017-08-07,0.0,-1.0
2017-08-08,0.0,-1.0
2017-08-09,0.0,-1.0
2017-08-10,0.0,-1.0
2017-08-11,0.0,-1.0
2017-08-14,0.0,-0.0
2017-08-15,0.0,-0.4449310302734375
2017-08-16,0.0,-1.0
2017-08-17,0.0,-0.0
2017-08-18,0.5723991394042969,-0.0
2017-08-21,0.0,-0.8654475212097168
2017-08-22,1.0,-0.0
2017-08-23,1.0,-0.0
2017-08-24,0.0,-1.0
2017-08-25,1.0,-0.0
2017-08-28,1.0,-0.0
2017-08-29,0.0,-1.0
2017-08-30,1.0,-0.0
2017-08-31,1.0,-0.0
2017-09-01,1.0,-0.0
2017-09-04,1.0,-0.0
2017-09-05,1.0,-0.0
2017-09-06,0.0,-0.42134809494018555
2017-09-07,1.0,-1.0
2017-09-08,0.0,-1.0
2017-09-11,0.0,-1.0
2017-09-12,0.0,-0.26869964599609375
2017-09-13,0.0,-1.0
2017-09-14,0.0,-1.0
2017-09-15,0.0,-1.0
