,signal_close_buy,signal_close_sell
2017-08-01,0.0,-1.0
2017-08-02,0.0,-0.0
2017-08-03,0.0,-0.006464958190917969
2017-08-04,1.0,-0.0
2017-08-07,1.0,-0.0
2017-08-08,0.0,-1.0
2017-08-09,1.0,-0.6698517799377441
2017-08-10,0.8507471084594727,-0.7689762115478516
2017-08-11,1.0,-0.0
2017-08-14,1.0,-0.0
2017-08-15,0.0,-1.0
2017-08-16,0.0,-1.0
2017-08-17,0.0,-1.0
2017-08-18,0.0,-1.0
2017-08-21,0.0,-0.3659243583679199
2017-08-22,0.0,-1.0
2017-08-23,0.0,-1.0
2017-08-24,0.0,-1.0
2017-08-25,0.0,-1.0
2017-08-28,0.0,-1.0
2017-08-29,0.0,-1.0
2017-08-30,0.0,-0.0
2017-08-31,0.0,-0.6892275810241699
2017-09-01,1.0,-0.0
2017-09-04,1.0,-0.0
2017-09-05,0.0,-0.0
2017-09-06,0.0,-0.0
2017-09-07,0.5530128479003906,-0.0
2017-09-08,0.31506824493408203,-0.0
2017-09-11,1.0,-0.0
2017-09-12,0.0,-1.0
2017-09-13,1.0,-0.0
2017-09-14,0.0,-1.0
2017-09-15,1.0,-0.0
