date,open,high,low,close,volume
2006-12-27,2468.84,2494.25,2464.14,2477.94,171265000.0
2006-12-28,2478.92,2487.71,2423.62,2443.69,191825000.0
2006-12-29,2448.26,2508.85,2447.2,2495.75,185940000.0
2007-01-04,2511.61,2537.71,2474.44,2477.94,223890900.0
2007-01-05,2474.26,2560.56,2465.63,2559.18,191899000.0
2007-01-08,2565.49,2617.34,2564.37,2617.34,249653000.0
2007-01-09,2626.81,2658.5,2615.57,2645.41,269120000.0
2007-01-10,2650.88,2691.96,2630.97,2691.96,289918000.0
2007-01-11,2694.55,2763.83,2680.18,2710.25,339046900.0
2007-01-12,2697.09,2732.86,2638.85,2642.92,260103000.0
2007-01-15,2640.14,2789.04,2640.14,2788.16,235333000.0
2007-01-16,2802.86,2912.95,2798.68,2912.61,312258000.0
2007-01-17,2920.06,3017.64,2816.04,2901.13,398245000.0
2007-01-18,2897.83,3019.21,2887.1,3016.53,339266000.0
2007-01-19,3032.5,3164.14,3032.5,3163.43,415348900.0
2007-01-22,3225.06,3336.75,3217.49,3336.23,435453000.0
2007-01-23,3345.94,3359.26,3202.55,3265.78,367080000.0
2007-01-24,3253.44,3305.74,3202.04,3295.22,296050000.0
2007-01-25,3272.39,3272.39,3155.07,3161.82,305769000.0
2007-01-26,3112.57,3190.94,3013.12,3170.8,252754000.0
2007-01-29,3167.11,3232.55,3155.4,3219.13,271120900.0
2007-01-30,3230.07,3290.84,3207.98,3268.63,264700900.0
2007-01-31,3260.4,3278.57,3074.19,3115.51,267470900.0
2007-02-01,3094.1,3174.67,3049.89,3167.76,217595000.0
2007-02-02,3162.05,3175.42,3112.91,3123.3,188681900.0
2007-02-05,3105.71,3137.22,3070.85,3110.76,158122000.0
2007-02-06,3094.42,3115.25,3026.05,3115.25,182065900.0
2007-02-07,3117.26,3163.13,3108.22,3132.3,199279000.0
2007-02-08,3135.8,3154.18,3113.66,3154.18,204873000.0
2007-02-09,3149.36,3170.04,3134.89,3160.81,173540000.0
2007-02-12,3161.57,3258.91,3150.65,3257.64,215533000.0
2007-02-13,3267.2,3300.41,3250.0,3300.41,214983000.0
2007-02-14,3303.25,3347.97,3298.07,3341.43,257860000.0
2007-02-15,3345.9,3418.78,3345.9,3414.76,273505900.0
2007-02-16,3433.67,3474.31,3414.68,3435.5,294536900.0
