date,open,high,low,close,volume
2006-01-04,997.05,1009.81,992.91,1009.57,720815000.0
2006-01-05,1011.3,1023.02,1009.4,1022.05,942637000.0
2006-01-06,1023.15,1036.67,1016.97,1029.75,1045400000.0
2006-01-09,1031.43,1036.52,1024.86,1034.58,891962000.0
2006-01-10,1033.96,1034.54,1019.1,1031.28,858117900.0
2006-01-11,1030.11,1035.13,1019.93,1026.93,941712900.0
2006-01-12,1025.05,1036.89,1020.34,1036.56,838442000.0
2006-01-13,1036.76,1038.5,1022.29,1028.61,851525000.0
2006-01-16,1027.05,1027.05,1002.93,1003.78,825285000.0
2006-01-17,1001.78,1007.11,997.18,1002.06,593785000.0
2006-01-18,1001.34,1021.16,1001.01,1020.94,778693900.0
2006-01-19,1022.87,1028.97,1011.51,1027.52,1011520000.0
2006-01-20,1027.24,1030.3,1019.67,1027.17,1013660000.0
2006-01-23,1027.45,1035.93,1023.23,1032.88,903787000.0
2006-01-24,1032.65,1041.03,1026.76,1033.39,976811000.0
2006-01-25,1032.33,1044.2,1029.93,1043.85,892275000.0
2006-02-06,1046.85,1067.37,1045.55,1067.12,1061620000.0
2006-02-07,1068.01,1072.89,1053.05,1065.89,1318430000.0
2006-02-08,1063.76,1071.55,1057.58,1070.44,1093290000.0
2006-02-09,1069.87,1072.76,1053.76,1056.44,1007390000.0
2006-02-10,1056.26,1066.96,1053.49,1064.54,872875000.0
2006-02-13,1064.69,1067.28,1050.69,1061.44,893805000.0
2006-02-14,1061.55,1067.31,1058.43,1066.71,744227900.0
2006-02-15,1068.06,1077.66,1064.79,1068.02,1065100000.0
2006-02-16,1068.02,1068.05,1037.36,1038.12,1072600000.0
2006-02-17,1036.21,1049.51,1033.66,1037.75,892496000.0
2006-02-20,1037.3,1048.5,1034.56,1036.64,845097900.0
2006-02-21,1036.48,1059.58,1027.67,1059.38,1117050000.0
2006-02-22,1060.48,1070.0,1053.09,1056.19,1204090000.0
2006-02-23,1057.15,1061.54,1045.76,1061.16,804715000.0
2006-02-24,1062.68,1070.67,1062.22,1070.37,857391000.0
2006-02-27,1072.22,1075.12,1058.67,1062.14,948970000.0
2006-02-28,1060.53,1069.65,1043.11,1068.7,1038150000.0
2006-03-01,1069.52,1076.51,1066.29,1075.13,1089310000.0
2006-03-02,1074.46,1074.46,1045.13,1050.16,1309330000.0
2006-03-03,1049.41,1055.48,1035.63,1051.06,1100910000.0
2006-03-06,1051.35,1056.18,1044.68,1046.68,876915000.0
2006-03-07,1046.35,1046.77,1017.56,1018.92,1043500000.0
2006-03-08,1016.53,1019.73,1004.92,1016.53,908596000.0
2006-03-09,1016.58,1021.58,1012.68,1014.61,640036000.0
2006-03-10,1014.87,1023.32,1014.87,1023.26,613353900.0
2006-03-13,1023.73,1035.41,1023.15,1033.46,695290000.0
2006-03-14,1034.2,1034.7,1022.83,1031.44,645751900.0
2006-03-15,1030.8,1044.78,1029.34,1044.76,830623900.0
2006-03-16,1044.79,1045.82,1039.99,1042.96,904118900.0
2006-03-17,1042.87,1045.03,1034.4,1041.44,888635000.0
2006-03-20,1041.81,1062.99,1035.92,1062.59,1130000000.0
2006-03-21,1063.23,1076.09,1060.45,1065.02,1413160000.0
2006-03-22,1064.85,1074.39,1058.49,1074.15,1244260000.0
2006-03-23,1073.79,1077.88,1067.47,1074.55,1425000000.0
2006-03-24,1075.05,1077.31,1062.45,1064.89,1291120000.0
2006-03-27,1064.13,1074.52,1057.34,1074.46,1126250000.0
2006-03-28,1074.79,1082.84,1072.69,1082.04,1240660000.0
2006-03-29,1082.37,1100.4,1079.9,1089.25,1968240000.0
2006-03-30,1088.5,1093.5,1075.71,1076.28,1499890000.0
2006-03-31,1074.21,1081.85,1067.64,1081.35,1337200000.0
2006-04-03,1081.88,1106.12,1081.88,1106.02,2087470000.0
2006-04-04,1108.82,1123.73,1105.75,1123.73,2416540000.0
2006-04-05,1124.52,1135.12,1120.79,1133.75,2296030000.0
2006-04-06,1134.45,1140.44,1126.37,1129.65,2461870000.0
2006-04-07,1129.21,1132.17,1114.81,1129.87,2458690000.0
2006-04-10,1131.25,1151.48,1128.87,1151.21,2514020000.0
2006-04-11,1153.29,1159.61,1140.56,1154.53,2684260000.0
2006-04-12,1153.98,1154.36,1144.82,1146.89,2089560000.0
2006-04-13,1145.37,1151.6,1111.57,1112.25,2494690000.0
2006-04-14,1109.95,1142.97,1109.05,1142.64,2375700000.0
2006-04-17,1139.52,1152.2,1133.45,1146.16,2223180000.0
2006-04-18,1146.8,1158.56,1136.96,1152.78,2220690000.0
2006-04-19,1153.84,1159.72,1139.44,1156.21,2444150000.0
2006-04-20,1156.49,1158.07,1139.96,1147.71,2706610000.0
2006-04-21,1145.51,1172.57,1140.36,1167.36,2836750000.0
2006-04-24,1172.09,1177.92,1149.17,1159.99,3241260000.0
2006-04-25,1156.64,1167.52,1136.62,1157.71,3044530000.0
2006-04-26,1157.76,1184.39,1157.1,1174.75,3461400000.0
2006-04-27,1175.71,1179.92,1160.83,1171.13,2544330000.0
2006-04-28,1157.6,1190.49,1146.78,1188.8,3111840000.0
2006-05-08,1196.41,1238.37,1196.41,1237.49,3657120000.0
2006-05-09,1245.02,1276.68,1239.39,1276.39,4596490000.0
2006-05-10,1284.6,1302.22,1266.51,1294.77,4486870000.0
2006-05-11,1296.05,1329.84,1279.43,1279.58,5071290000.0
2006-05-12,1276.94,1325.21,1272.73,1324.95,4514600000.0
2006-05-15,1340.7,1389.32,1327.56,1388.57,6290830000.0
2006-05-16,1391.96,1413.54,1339.68,1352.1,6153440000.0
2006-05-17,1350.51,1375.22,1323.12,1355.95,4850450000.0
2006-05-18,1340.6,1357.76,1314.06,1346.07,4223120000.0
2006-05-19,1346.86,1384.82,1338.49,1379.3,4731190000.0
2006-05-22,1377.43,1401.63,1369.36,1386.46,5809570000.0
2006-05-23,1376.13,1376.13,1319.42,1320.14,5007170000.0
